,Player Id,Team,Games Played,Total Tackles,Birth Place,Birthday,Experience,Height (inches),Name,Weight (lbs),Years Played
0,quinnjohnson/79593,Tennessee Titans,4,0,"New Orleans , LA",9/30/1986,5 Seasons,73.0,"Johnson, Quinn",255.0,2009 - 2013
1,quinnjohnson/79593,Tennessee Titans,16,1,"New Orleans , LA",9/30/1986,5 Seasons,73.0,"Johnson, Quinn",255.0,2009 - 2013
2,quinnjohnson/79593,Tennessee Titans,4,0,"New Orleans , LA",9/30/1986,5 Seasons,73.0,"Johnson, Quinn",255.0,2009 - 2013
3,quinnjohnson/79593,Denver Broncos,0,0,"New Orleans , LA",9/30/1986,5 Seasons,73.0,"Johnson, Quinn",255.0,2009 - 2013
4,quinnjohnson/79593,Green Bay Packers,11,4,"New Orleans , LA",9/30/1986,5 Seasons,73.0,"Johnson, Quinn",255.0,2009 - 2013
5,quinnjohnson/79593,Green Bay Packers,9,0,"New Orleans , LA",9/30/1986,5 Seasons,73.0,"Johnson, Quinn",255.0,2009 - 2013
6,ronrivera/2502679,Chicago Bears,16,--,"Fort Ord , CA",1/7/1962,9 Seasons,75.0,"Rivera, Ron",235.0,1984 - 1992
7,ronrivera/2502679,Chicago Bears,16,--,"Fort Ord , CA",1/7/1962,9 Seasons,75.0,"Rivera, Ron",235.0,1984 - 1992
8,ronrivera/2502679,Chicago Bears,14,--,"Fort Ord , CA",1/7/1962,9 Seasons,75.0,"Rivera, Ron",235.0,1984 - 1992
9,ronrivera/2502679,Chicago Bears,16,--,"Fort Ord , CA",1/7/1962,9 Seasons,75.0,"Rivera, Ron",235.0,1984 - 1992
10,ronrivera/2502679,Chicago Bears,16,--,"Fort Ord , CA",1/7/1962,9 Seasons,75.0,"Rivera, Ron",235.0,1984 - 1992
11,ronrivera/2502679,Chicago Bears,12,--,"Fort Ord , CA",1/7/1962,9 Seasons,75.0,"Rivera, Ron",235.0,1984 - 1992
12,ronrivera/2502679,Chicago Bears,16,--,"Fort Ord , CA",1/7/1962,9 Seasons,75.0,"Rivera, Ron",235.0,1984 - 1992
13,ronrivera/2502679,Chicago Bears,16,--,"Fort Ord , CA",1/7/1962,9 Seasons,75.0,"Rivera, Ron",235.0,1984 - 1992
14,ronrivera/2502679,Chicago Bears,15,--,"Fort Ord , CA",1/7/1962,9 Seasons,75.0,"Rivera, Ron",235.0,1984 - 1992
15,montaereagor/2502600,Philadelphia Eagles,7,2,"Waxahachie , TX",6/29/1977,10 Seasons,75.0,"Reagor, Montae",285.0,1999 - 2008
16,montaereagor/2502600,Indianapolis Colts,5,10,"Waxahachie , TX",6/29/1977,10 Seasons,75.0,"Reagor, Montae",285.0,1999 - 2008
17,montaereagor/2502600,Indianapolis Colts,13,36,"Waxahachie , TX",6/29/1977,10 Seasons,75.0,"Reagor, Montae",285.0,1999 - 2008
18,montaereagor/2502600,Indianapolis Colts,16,41,"Waxahachie , TX",6/29/1977,10 Seasons,75.0,"Reagor, Montae",285.0,1999 - 2008
19,montaereagor/2502600,Indianapolis Colts,13,25,"Waxahachie , TX",6/29/1977,10 Seasons,75.0,"Reagor, Montae",285.0,1999 - 2008
20,montaereagor/2502600,Denver Broncos,15,19,"Waxahachie , TX",6/29/1977,10 Seasons,75.0,"Reagor, Montae",285.0,1999 - 2008
21,montaereagor/2502600,Denver Broncos,8,9,"Waxahachie , TX",6/29/1977,10 Seasons,75.0,"Reagor, Montae",285.0,1999 - 2008
22,montaereagor/2502600,Denver Broncos,13,--,"Waxahachie , TX",6/29/1977,10 Seasons,75.0,"Reagor, Montae",285.0,1999 - 2008
23,montaereagor/2502600,Denver Broncos,9,--,"Waxahachie , TX",6/29/1977,10 Seasons,75.0,"Reagor, Montae",285.0,1999 - 2008
24,joetafoya/2504656,Arizona Cardinals,13,20,"San Luis Obispo Co. , CA",9/6/1978,7 Seasons,76.0,"Tafoya, Joe",258.0,2001 - 2008
25,joetafoya/2504656,Seattle Seahawks,13,12,"San Luis Obispo Co. , CA",9/6/1978,7 Seasons,76.0,"Tafoya, Joe",258.0,2001 - 2008
